property_type,society,sector,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,area_room_ratio
flat,pareena coban residences,sector 99a,1.56,7811.72,1997.0,Super Built up area 1997(185.53 sq.m.),3,5,3,4.0,North-East,New Property,1997.0,,,0,1,0,0,1,0,49,665.6666666666666
flat,birla navya,sector 63a,3.15,14630.75,2153.0,Carpet area: 200,3,3,3,4.0,East,Under Construction,,,200.0,0,0,0,0,1,0,44,717.6666666666666
flat,godrej,sector 79,1.41,8998.09,1567.0,Carpet area: 1572 (146.04 sq.m.),2,2,3,3.0,,New Property,,,1572.0,1,0,0,0,0,0,104,783.5
flat,shree vardhman victoria,sector 70,1.15,8518.52,1350.0,Super Built up area 1350(125.42 sq.m.),2,2,3,8.0,South-East,Relatively New,1350.0,,,1,0,0,0,1,0,49,675.0
house,dlf city plots,sector 26,13.5,29880.48,4518.0,Plot area 502(419.74 sq.m.),5,5,2,2.0,East,Moderately Old,,502.0,,1,1,0,0,1,1,104,903.6
flat,puri emerald bay,sector 104,1.59,10905.35,1458.0,Super Built up area 1550(144 sq.m.),2,2,2,12.0,South,Relatively New,1550.0,,,0,0,0,0,0,0,121,729.0
flat,tulip violet,sector 69,1.68,10071.94,1668.0,Super Built up area 1668(154.96 sq.m.),3,3,2,0.0,West,Relatively New,1668.0,,,0,0,0,0,0,0,157,556.0
flat,signature global park,sohna road,0.87,7190.08,1210.0,Built Up area: 1210 (112.41 sq.m.)Carpet area: 870 sq.ft. (80.83 sq.m.),3,2,3,4.0,,Undefined,,1210.0,870.0,0,0,0,0,0,0,58,403.3333333333333
flat,indiabulls centrum park,sector 103,1.15,8679.25,1325.0,Super Built up area 1325(123.1 sq.m.)Carpet area: 865 sq.ft. (80.36 sq.m.),2,2,3,10.0,North-East,Relatively New,1325.0,,865.0,1,0,0,0,0,1,174,662.5
flat,emaar gurgaon greens,sector 102,1.5,9090.91,1650.0,Super Built up area 1650(153.29 sq.m.)Carpet area: 1022.58 sq.ft. (95 sq.m.),3,3,3,7.0,West,Relatively New,1650.0,,1022.58,0,0,0,1,0,1,174,550.0
house,independent,sector 28,11.25,34722.22,3240.0,Plot area 360(301.01 sq.m.),9,9,3+,2.0,North,Moderately Old,,360.0,,0,1,1,1,0,1,126,360.0
flat,satya the hermitage,sector 103,0.8,5517.24,1450.0,Built Up area: 1450 (134.71 sq.m.),2,2,0,10.0,,Undefined,,1450.0,,0,0,0,0,0,0,61,725.0
flat,ramprastha the edge towers,sector 37d,1.1,5527.64,1990.0,Built Up area: 1990 (184.88 sq.m.),3,3,3,9.0,,Undefined,,1990.0,,0,0,0,0,0,0,63,663.3333333333334
flat,m3m skywalk,sector 74,1.55,13790.04,1124.0,Super Built up area 1406(130.62 sq.m.)Built Up area: 1300 sq.ft. (120.77 sq.m.)Carpet area: 1124 sq.ft. (104.42 sq.m.),2,2,3+,18.0,South,Relatively New,1406.0,1300.0,1124.0,0,0,0,0,1,0,137,562.0
house,independent,sector 24,2.6,24074.07,1080.0,Plot area 120(100.34 sq.m.),4,4,3+,4.0,,Relatively New,,120.0,,1,0,1,1,0,2,0,270.0
house,suncity essel towers,sector 28,6.0,22222.22,2700.0,Plot area 300(250.84 sq.m.),4,4,3+,3.0,East,Old Property,,300.0,,1,0,0,0,0,1,89,675.0
flat,the lions cghs,sector 56,1.99,11055.56,1800.0,Super Built up area 2400(222.97 sq.m.)Built Up area: 2000 sq.ft. (185.81 sq.m.)Carpet area: 1800 sq.ft. (167.23 sq.m.),4,4,3+,4.0,East,Old Property,2400.0,2000.0,1800.0,0,0,0,1,1,1,105,450.0
flat,zara aavaas,sector 104,0.26,7807.81,333.0,Built Up area: 301 (27.96 sq.m.),1,1,2,0.0,North-East,Relatively New,,301.0,,0,0,0,0,0,0,91,333.0
flat,umang monsoon breeze,sector 78,0.62,5004.04,1239.0,Super Built up area 1239(115.11 sq.m.)Built Up area: 1115 sq.ft. (103.59 sq.m.)Carpet area: 947 sq.ft. (87.98 sq.m.),2,2,1,7.0,South,Moderately Old,1239.0,1115.0,947.0,0,0,1,0,0,0,111,619.5
flat,essel towers,sector 14,2.2,12500.0,1760.0,Carpet area: 1760 (163.51 sq.m.),3,4,3+,3.0,,Undefined,,,1760.0,0,0,0,0,0,0,0,586.6666666666666
flat,m3m latitude,sector 65,4.7,19747.9,2380.0,Super Built up area 2380(221.11 sq.m.)Carpet area: 1231 sq.ft. (114.36 sq.m.),3,3,3+,9.0,North-East,Relatively New,2380.0,,1231.0,0,1,0,1,0,1,44,793.3333333333334
flat,emaar mgf emerald floors premier,sector 65,2.65,16060.61,1650.0,Carpet area: 1650 (153.29 sq.m.),3,3,3,5.0,North,Relatively New,,,1650.0,1,1,0,0,0,0,37,550.0
flat,my home,new sector 2,0.28,3167.42,884.0,Carpet area: 900 (83.61 sq.m.),2,1,1,2.0,,Relatively New,,,900.0,0,0,0,0,1,0,15,442.0
flat,wings apartment,sector 9,1.2,6666.67,1800.0,Carpet area: 1800 (167.23 sq.m.),4,3,2,4.0,South-East,Moderately Old,,,1800.0,0,0,0,0,0,1,23,450.0
house,independent,sector 55,1.64,10123.46,1620.0,Plot area 180(150.5 sq.m.),3,3,2,4.0,South,New Property,,180.0,,1,1,0,0,0,1,54,540.0
flat,sare homes,sector 92,0.95,4250.56,2235.0,Super Built up area 2000(185.81 sq.m.)Built Up area: 1983 sq.ft. (184.23 sq.m.)Carpet area: 1900 sq.ft. (176.52 sq.m.),4,3,2,16.0,East,New Property,2000.0,1983.0,1900.0,0,0,0,0,0,0,95,558.75
flat,vatika city,sector 49,2.64,11722.91,2252.0,Super Built up area 2251.42(209.16 sq.m.)Built Up area: 1750.75 sq.ft. (162.65 sq.m.),3,4,3+,2.0,East,Moderately Old,2251.42,1750.75,,0,1,0,1,0,1,140,750.6666666666666
flat,supertech araville,sector 79,1.35,6940.87,1945.0,Carpet area: 1945 (180.7 sq.m.),3,3,3,4.0,,Relatively New,,,1945.0,0,0,0,0,0,0,0,648.3333333333334
flat,signature global city 81,sector 81,0.89,8279.07,1075.0,Carpet area: 1075 (99.87 sq.m.),2,2,2,3.0,North,Under Construction,,,1075.0,0,0,0,0,1,0,20,537.5
flat,tulip violet,sector 69,1.66,8409.32,1974.0,Super Built up area 1970(183.02 sq.m.),4,4,1,12.0,South-East,Relatively New,1970.0,,,0,0,0,1,0,0,102,493.5
flat,ss the leaf,sector 85,1.78,7392.03,2408.0,Super Built up area 2408(223.71 sq.m.),3,4,3+,6.0,West,New Property,2408.0,,,0,0,1,0,0,0,113,802.6666666666666
flat,mrg world ultimus,sector 90,0.5,6983.24,716.0,Carpet area: 716 (66.52 sq.m.),2,2,2,1.0,North-East,Under Construction,,,716.0,0,0,0,0,0,0,21,358.0
house,independent,sector 23,5.5,21825.4,2520.0,Plot area 280(234.12 sq.m.),8,8,2,3.0,East,Moderately Old,,280.0,,1,1,0,1,0,1,76,315.0
flat,dlf regal gardens,sector 90,1.76,7945.82,2215.0,Super Built up area 2215(205.78 sq.m.)Built Up area: 2020 sq.ft. (187.66 sq.m.)Carpet area: 1670 sq.ft. (155.15 sq.m.),4,4,3+,8.0,North,Relatively New,2215.0,2020.0,1670.0,0,0,0,0,0,1,135,553.75
flat,satya element one,sector 49,0.94,14008.94,671.0,Carpet area: 671 (62.34 sq.m.),1,2,2,2.0,East,Undefined,,,671.0,0,0,0,0,0,0,0,671.0
flat,krrish provence estate,gwal pahari,7.5,7500.0,10000.0,Super Built up area 10000(929.03 sq.m.),5,6,3+,23.0,North-East,Relatively New,10000.0,,,0,1,0,1,1,0,49,2000.0
house,independent,sector 56,3.25,21494.71,1512.0,Plot area 168(140.47 sq.m.),5,6,3+,4.0,East,Relatively New,,168.0,,0,0,0,1,1,1,27,302.4
